CASEID,PSU,CASENO,CASENUMBER,CATEGORY,EVENTNO,VEHNUM,CLASS1,GAD1,CLASS2,GAD2
6400,11,2,1-11-2017-002-07,7,1,1,14,F,3,R
6410,15,8,1-15-2017-008-03,3,1,1,4,F,14,B
6408,13,12,1-13-2017-012-03,3,1,1,4,R,14,F
6411,33,13,1-33-2017-013-07,7,1,1,3,F,0,0
6411,33,13,1-33-2017-013-07,7,2,1,3,F,0,0
6409,13,13,1-13-2017-013-05,5,1,1,3,F,14,B
6409,13,13,1-13-2017-013-05,5,2,1,3,F,4,B
6404,21,7,1-21-2017-007-06,6,1,2,4,L,2,F
6407,22,16,1-22-2017-016-09,9,1,1,2,T,0,N
6416,30,16,1-30-2017-016-09,9,3,1,4,F,0,0
6416,30,16,1-30-2017-016-09,9,1,1,4,F,0,0
6416,30,16,1-30-2017-016-09,9,2,1,4,F,0,0
6412,22,17,1-22-2017-017-10,10,1,1,1,U,0,0
6413,20,13,1-20-2017-013-01,1,1,1,4,F,0,0
6413,20,13,1-20-2017-013-01,1,2,1,4,N,0,N
6405,18,8,1-18-2017-008-07,7,1,1,2,F,0,0
6415,20,14,1-20-2017-014-04,4,1,1,2,F,4,B
6389,10,7,1-10-2017-007-07,7,1,1,5,L,3,F
6418,26,7,1-26-2017-007-06,6,1,1,14,F,2,L
6399,11,1,1-11-2017-001-06,6,1,1,3,L,16,R
6421,30,18,1-30-2017-018-07,7,1,1,2,R,2,F
6389,10,7,1-10-2017-007-07,7,2,2,3,B,3,F
6427,10,8,1-10-2017-008-09,9,1,1,2,F,2,B
6428,10,9,1-10-2017-009-09,9,1,1,14,L,3,F
6430,32,15,1-32-2017-015-07,7,1,2,2,9,4,F
6431,32,16,1-32-2017-016-07,7,1,1,20,F,31,B
6425,23,13,1-23-2017-013-03,3,1,2,3,F,14,B
6425,23,13,1-23-2017-013-03,3,2,2,3,F,0,0
6425,23,13,1-23-2017-013-03,3,3,2,3,F,0,0
6425,23,13,1-23-2017-013-03,3,4,2,3,F,0,0
6425,23,13,1-23-2017-013-03,3,5,2,3,F,0,0
6425,23,13,1-23-2017-013-03,3,6,2,3,F,0,0
6432,16,15,1-16-2017-015-07,7,1,2,30,F,14,L
6438,12,9,1-12-2017-009-06,6,1,1,31,F,3,F
6435,24,16,1-24-2017-016-03,3,1,1,31,F,21,R
6435,24,16,1-24-2017-016-03,3,4,1,31,F,20,F
6423,11,3,1-11-2017-003-03,3,1,2,14,F,31,R
6435,24,16,1-24-2017-016-03,3,3,2,21,L,0,0
6435,24,16,1-24-2017-016-03,3,2,2,21,R,31,L
6441,17,14,1-17-2017-014-04,4,1,1,2,F,4,R
6442,21,8,1-21-2017-008-03,3,1,1,1,L,14,F
6443,16,17,1-16-2017-017-03,3,1,1,1,F,14,B
6443,16,17,1-16-2017-017-03,3,2,2,14,F,4,B
6443,16,17,1-16-2017-017-03,3,3,3,4,F,3,B
6447,23,15,1-23-2017-015-10,10,1,1,4,F,0,0
